NULL;2020/04/01;A;2020/02/25
NULL;2020/04/08;B;2020/02/25
NULL;2020/04/15;A;2020/02/25
NULL;2020/04/22;B;2020/02/25
NULL;2020/04/29;A;2020/02/25
NULL;2020/05/06;B;2020/02/25
NULL;2020/05/13;A;2020/02/25
NULL;2020/05/20;B;2020/02/25
NULL;2020/05/27;A;2020/02/25
NULL;2020/06/03;B;2020/02/25
NULL;2020/06/10;A;2020/02/25
NULL;2020/06/17;B;2020/02/25
NULL;2020/06/24;A;2020/02/25
NULL;2020/07/01;B;2020/02/25
NULL;2020/07/08;A;2020/02/25
NULL;2020/07/15;B;2020/02/25
NULL;2020/07/22;A;2020/02/25
NULL;2020/07/29;B;2020/02/25
NULL;2020/08/05;A;2020/02/25
NULL;2020/08/12;B;2020/02/25
NULL;2020/08/19;A;2020/02/25
NULL;2020/08/26;B;2020/02/25
NULL;2020/09/02;A;2020/02/25
NULL;2020/09/09;B;2020/02/25
NULL;2020/09/16;A;2020/02/25
NULL;2020/09/23;B;2020/02/25
NULL;2020/09/30;A;2020/02/25
NULL;2020/10/07;B;2020/02/25
NULL;2020/10/14;A;2020/02/25
NULL;2020/10/21;B;2020/02/25
NULL;2020/10/28;A;2020/02/25
NULL;2020/11/04;B;2020/02/25
NULL;2020/11/11;A;2020/02/25
NULL;2020/11/18;B;2020/02/25
NULL;2020/11/25;A;2020/02/25
NULL;2020/12/02;B;2020/02/25
NULL;2020/12/09;A;2020/02/25
NULL;2020/12/16;B;2020/02/25
NULL;2020/12/23;A;2020/02/25
NULL;2020/12/30;B;2020/02/25
NULL;2021/01/06;A;2020/02/25
NULL;2021/01/13;B;2020/02/25
NULL;2021/01/20;A;2020/02/25
NULL;2021/01/27;B;2020/02/25
NULL;2021/02/03;A;2020/02/25
NULL;2021/02/10;B;2020/02/25
NULL;2021/02/17;A;2020/02/25
NULL;2021/02/24;B;2020/02/25
NULL;2021/03/03;A;2020/02/25
NULL;2021/03/10;B;2020/02/25
NULL;2021/03/17;A;2020/02/25
NULL;2021/03/24;B;2020/02/25
